No	업종코드	업종명
567	3618	경제자유구역내 외국의료기관(치과병원)
568	3619	경제자유구역내 외국의료기관(요양병원)
569	3620	경제자유구역내 외국인전용 약국
570	3701	주류제조업(주정)
571	3702	주류제조업(탁주)
572	3703	주류제조업(약주)
573	3704	주류제조업(청주)
574	3705	주류제조업(맥주)
575	3706	주류제조업(과실주)
576	3707	주류제조업(증류식 소주)
577	3708	주류제조업(희석식 소주)
578	3709	주류제조업(위스키)
579	3710	주류제조업(브랜디)
580	3711	주류제조업(일반증류주)
581	3712	주류제조업(리큐르)
582	3713	주류제조업(기타주류)
583	3714	주류판매업(종합주류도매업)
584	3715	주류판매업(특정주류도매업)
585	3716	주류판매업(주정도매업)
586	3717	주류판매업(주류수출업)
587	3718	주류판매업(주류중개업)
588	3719	주류판매업(주류소매업)
589	3720	밑술 또는 술덧제조업
590	3721	관세사합동사무소
591	3722	관세법인
592	3723	세무사사무소
593	3724	세무법인
594	3725	보세운송업
595	3726	보세운송업등(해상분야-해운대리점)
596	3727	보세운송업등(해상분야-하역업)
597	3728	보세운송업등(해상분야-항만용역업)
598	3729	보세운송업등(해상분야-내국전용 물품공급업)
599	3730	보세운송업등(해상분야-내외국물품공급업)
600	3731	보세운송업등(해상분야-선내판매업)
601	3732	보세운송업등(해상분야-선박급유업)
602	3733	보세운송업등(해상분야-선박수리업)
603	3734	보세운송업등(해상분야-컨테이너수리업)
604	3735	보세운송업등(해상분야-통신전자기기수리업)
605	3736	보세운송업등(해상분야-구명땟목정비업)
606	3737	보세운송업등(해상분야-소독대행업)
607	3738	보세운송업등(해상분야-방제업및유창청소업)
608	3739	보세운송업등(해상분야-감정검량업)
609	3740	보세운송업등(해상분야-검수업)
610	3741	보세운송업등(해상분야-도선업)
611	3742	보세운송업등(해상분야-예선업)
612	3743	보세운송업등(해상분야-선박관리업)
613	3744	보세운송업등(해상분야-선박검사업)
614	3745	보세운송업등(해상분야-선박구난업)
615	3746	보세운송업등(해상분야-수중공사업)
616	3747	보세운송업등(해상분야-환급창구운영업)
617	3748	보세운송업등(해상분야-선박회사)
618	3749	보세운송업등(해상분야-기타업종)
619	3750	보세운송업등(항공분야-항공대리점업)
620	3751	보세운송업등(항공분야-항공기취급업)
621	3752	보세운송업등(항공분야-기내판매업)
622	3753	보세운송업등(항공분야-경비업)
623	3754	보세운송업등(항공분야-식음료판매업)
624	3755	보세운송업등(항공분야-신문공급업)
625	3756	보세운송업등(항공분야-환전업)
626	3757	보세운송업등(항공분야-T/S라운지영업)
627	3758	보세운송업등(항공분야-서적판매업)
628	3759	보세운송업등(항공분야-현금인출기운영업)
629	3760	보세운송업등(항공분야-환급창구운영업)
630	3761	보세운송업등(항공분야-항공사)
631	3762	보세운송업등(항공분야-기타업종)
632	3764	장치기간경과물품 매각대행기관
633	3765	전자문서중계사업자
634	3767	담배제조업
635	3768	담배수입판매업
636	3769	담배도매업
